Index,Stimulus,Direction,Congruency,Emotion,IsPractice,IsCorrect,ResponseTime(s)
197,<<><<,Right,Incongruent,Neutral,False,False,0.002
198,>>>>>,Right,Congruent,Neutral,False,False,0.002
199,>>>>>,Right,Congruent,Neutral,False,False,0.002
200,<<><<,Right,Incongruent,Neutral,False,False,0.002
201,>><>>,Left,Incongruent,Negative,False,False,0.002
202,<<><<,Right,Incongruent,Neutral,False,False,0.002
203,>><>>,Left,Incongruent,Negative,False,False,0.002
204,>>>>>,Right,Congruent,Negative,False,False,0.002
205,<<><<,Right,Incongruent,Neutral,False,False,0.002
206,>><>>,Left,Incongruent,Negative,False,False,0.002
207,>><>>,Left,Incongruent,Neutral,False,False,0.002
208,<<><<,Right,Incongruent,Negative,False,False,0.002
209,<<<<<,Left,Congruent,Neutral,False,False,0.002
210,>>>>>,Right,Congruent,Neutral,False,False,0.002
211,<<<<<,Left,Congruent,Neutral,False,False,0.002
212,<<<<<,Left,Congruent,Neutral,False,False,0.002
213,>>>>>,Right,Congruent,Negative,False,False,0.002
214,<<<<<,Left,Congruent,Neutral,False,False,0.002
215,>><>>,Left,Incongruent,Negative,False,False,0.002
216,>>>>>,Right,Congruent,Neutral,False,False,0.002
217,<<><<,Right,Incongruent,Neutral,False,False,0.002
218,>><>>,Left,Incongruent,Negative,False,False,0.002
219,<<<<<,Left,Congruent,Negative,False,False,0.002
220,>>>>>,Right,Congruent,Negative,False,False,0.002
