Index,Type,IsNegative,IsCorrect,ResponseTime(s)
628,StarsArray,True,False,0.010
629,StarsArray,True,False,0.010
630,Congruent,False,False,0.010
631,Congruent,False,False,0.010
632,Congruent,True,False,0.010
633,StarsArray,True,False,0.010
634,StarsArray,True,False,0.010
635,Congruent,True,False,0.010
636,StarsArray,False,False,0.010
637,StarsArray,True,False,0.010
638,Incongruent,True,False,0.010
639,StarsArray,False,False,0.010
640,StarsArray,False,False,0.010
641,Congruent,True,False,0.010
642,Congruent,False,False,0.010
643,StarsArray,False,False,0.010
644,StarsArray,False,False,0.010
645,Congruent,False,False,0.010
646,Congruent,False,False,0.010
647,Incongruent,False,False,0.010
648,StarsArray,True,False,0.010
649,Incongruent,False,False,0.010
650,Incongruent,True,False,0.010
651,StarsArray,True,False,0.010
652,Congruent,True,False,0.010
653,StarsArray,False,False,0.010
654,StarsArray,False,False,0.010
655,Congruent,False,False,0.010
656,StarsArray,True,False,0.010
657,Incongruent,False,False,0.010
658,Congruent,True,False,0.010
659,StarsArray,True,False,0.010
660,StarsArray,False,False,0.010
661,StarsArray,False,False,0.010
662,StarsArray,True,False,0.010
663,StarsArray,False,False,0.010
664,StarsArray,True,False,0.010
665,Congruent,False,False,0.010
666,StarsArray,False,False,0.010
667,StarsArray,False,False,0.010
668,StarsArray,True,False,0.010
669,StarsArray,False,False,0.010
670,StarsArray,False,False,0.010
671,StarsArray,True,False,0.010
672,StarsArray,False,False,0.010
673,StarsArray,True,False,0.010
674,StarsArray,True,False,0.010
675,Congruent,True,False,0.010
676,StarsArray,False,False,0.010
677,Incongruent,False,False,0.010
678,StarsArray,True,False,0.010
679,StarsArray,True,False,0.010
680,StarsArray,True,False,0.010
681,StarsArray,True,False,0.010
682,StarsArray,True,False,0.010
683,StarsArray,False,False,0.010
684,StarsArray,False,False,0.010
685,StarsArray,True,False,0.010
686,StarsArray,False,False,0.010
687,Incongruent,False,False,0.010
688,StarsArray,False,False,0.010
689,StarsArray,True,False,0.010
690,StarsArray,False,False,0.010
691,Congruent,False,False,0.010
692,StarsArray,False,False,0.010
693,Incongruent,False,False,0.010
694,StarsArray,False,False,0.010
695,StarsArray,False,False,0.010
696,StarsArray,True,False,0.010
697,StarsArray,False,False,0.010
698,StarsArray,True,False,0.010
699,StarsArray,False,False,0.010
700,Congruent,True,False,0.010
701,Incongruent,False,False,0.010
702,Incongruent,True,False,0.010
703,StarsArray,True,False,0.010
704,StarsArray,False,False,0.010
705,StarsArray,False,False,0.010
706,StarsArray,True,False,0.010
707,StarsArray,True,False,0.010
708,StarsArray,True,False,0.010
709,StarsArray,False,False,0.010
710,Congruent,True,False,0.010
711,StarsArray,True,False,0.010
712,Congruent,True,False,0.010
713,Incongruent,False,False,0.010
714,StarsArray,True,False,0.010
715,Congruent,False,False,0.010
716,StarsArray,False,False,0.010
717,Incongruent,False,False,0.010
718,StarsArray,False,False,0.010
719,StarsArray,True,False,0.010

總題數,720
正確題數,0
正確率,0.00%
平均反應時間（僅計算正確題）,0.000
